fly,neuron,absolute_prominence,prominence_multiplier,spikes,r150,peak_abs_lag_ms,peak_abs_r,method_version
a2_d_14,a2_r,15.0,2.0,12044,0.2798958449342496,170,0.28510788170675244,epoch-isolated-sensitivity/v2
a2_d_14,a2_r,18.75,2.5,3571,0.17432360109077882,160,0.17541716138722865,epoch-isolated-sensitivity/v2
a1_d_07,a1_l,4.3125,0.75,47151,-0.24242137758466517,170,-0.2440232268269485,epoch-isolated-sensitivity/v2
a1_d_07,a1_l,5.75,1.0,46004,-0.25174939016598086,170,-0.2533578986458799,epoch-isolated-sensitivity/v2
a1_d_07,a1_l,7.1875,1.25,45602,-0.2554400856733246,160,-0.25688958142419194,epoch-isolated-sensitivity/v2
a1_d_07,a1_r,4.3125,0.75,37976,0.13983057413329303,150,0.13983057413329303,epoch-isolated-sensitivity/v2
a1_d_07,a1_r,5.75,1.0,35995,0.15486993686103495,150,0.15486993686103495,epoch-isolated-sensitivity/v2
a1_d_07,a1_r,7.1875,1.25,35128,0.16088193800562425,150,0.16088193800562425,epoch-isolated-sensitivity/v2
a1_d_09,a1_l,4.3125,0.75,44065,-0.23538870539999507,150,-0.23538870539999507,epoch-isolated-sensitivity/v2
a1_d_09,a1_l,5.75,1.0,22089,-0.21289104523918218,150,-0.21289104523918218,epoch-isolated-sensitivity/v2
a1_d_09,a1_l,7.1875,1.25,12087,-0.17589037921288272,140,-0.17598028290678489,epoch-isolated-sensitivity/v2
a1_d_09,a1_r,4.3125,0.75,86821,0.3444629634761135,160,0.34492406179566637,epoch-isolated-sensitivity/v2
a1_d_09,a1_r,5.75,1.0,81364,0.34660175539564664,160,0.34714449786022217,epoch-isolated-sensitivity/v2
a1_d_09,a1_r,7.1875,1.25,62056,0.3234364656448307,160,0.3235539402144435,epoch-isolated-sensitivity/v2
a1_a2_d_04,a2_l,5.625,0.75,49922,-0.27455322281745825,160,-0.27566924509480206,epoch-isolated-sensitivity/v2
a1_a2_d_04,a2_l,7.5,1.0,40069,-0.2988934546014083,160,-0.299760463799536,epoch-isolated-sensitivity/v2
a1_a2_d_04,a2_l,9.375,1.25,38286,-0.30097260449197083,160,-0.3017545690307635,epoch-isolated-sensitivity/v2
a1_a2_d_04,a2_l,11.25,1.5,35993,-0.2961716454321762,160,-0.2969001234938117,epoch-isolated-sensitivity/v2
a1_a2_d_04,a2_l,15.0,2.0,17124,-0.2632833953087593,150,-0.2632833953087593,epoch-isolated-sensitivity/v2
a1_a2_d_04,a2_l,18.75,2.5,3642,-0.20440814059287746,130,-0.2059418985050219,epoch-isolated-sensitivity/v2
a1_a2_d_04,a1_l,4.3125,0.75,56065,-0.14853384484910911,130,-0.1503926261513753,epoch-isolated-sensitivity/v2
a1_a2_d_04,a1_l,5.75,1.0,38670,-0.17456397554303685,110,-0.17992002415731123,epoch-isolated-sensitivity/v2
a1_a2_d_04,a1_l,7.1875,1.25,32097,-0.17989963535619888,110,-0.18794844095241264,epoch-isolated-sensitivity/v2
