group_id,canonical,leg,joint,bodyId,type,instance,somaSide,somaNeuromere,display_evidence_class,legacy_comparison,physiological_action_in_this_cell_measured
T3L:knee_flexor,knee_flexor,T3L,femur-tibia,1050088257,Ti flexor MN,Ti flexor MN_L,L,T3,annotation_only,legacy_target_missing,False
T3L:knee_flexor,knee_flexor,T3L,femur-tibia,1050100010,Ti flexor MN,Ti flexor MN_L,L,T3,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T3L:knee_flexor,knee_flexor,T3L,femur-tibia,1050123559,Acc. ti flexor MN,Acc. ti flexor MN_L,L,T3,annotation_only,different_joint_or_action,False
T3L:knee_flexor,knee_flexor,T3L,femur-tibia,1050166426,Ti flexor MN,Ti flexor MN_L,L,T3,confirmed_direction_candidate,different_muscle_label_same_mapped_action,False
T3L:knee_flexor,knee_flexor,T3L,femur-tibia,1050233038,Acc. ti flexor MN,Acc. ti flexor MN_L,L,T3,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T3L:knee_flexor,knee_flexor,T3L,femur-tibia,1050263576,Acc. ti flexor MN,Acc. ti flexor MN_L,L,T3,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T3L:root_pra,root_pra,T3L,thorax-coxa,800175,Pleural remotor/abductor MN,Pleural remotor/abductor MN_L,L,T3,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T3L:root_pra,root_pra,T3L,thorax-coxa,902310,Pleural remotor/abductor MN,Pleural remotor/abductor MN_L,L,T3,annotation_only,different_joint_or_action,False
T3L:root_sad,root_sad,T3L,thorax-coxa,904184,Sternal adductor MN,Sternal adductor MN_L,L,T3,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T3L:root_sar,root_sar,T3L,thorax-coxa,801548,Sternal anterior rotator MN,Sternal anterior rotator MN_L,L,T3,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T3L:root_sar,root_sar,T3L,thorax-coxa,802215,Sternal anterior rotator MN,Sternal anterior rotator MN,L,T3,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T3L:root_spr,root_spr,T3L,thorax-coxa,801492,Sternal posterior rotator MN,Sternal posterior rotator MN_L,L,T3,annotation_only,different_joint_or_action,False
T3L:root_spr,root_spr,T3L,thorax-coxa,801715,Sternal posterior rotator MN,Sternal posterior rotator MN_L,L,T3,annotation_only,different_joint_or_action,False
T3L:root_spr,root_spr,T3L,thorax-coxa,802964,Sternal posterior rotator MN,Sternal posterior rotator MN_L,L,T3,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T3L:root_spr,root_spr,T3L,thorax-coxa,818399,Sternal posterior rotator MN,Sternal posterior rotator MN_L,L,T3,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T3R:knee_extensor,knee_extensor,T3R,femur-tibia,800158,Ti extensor MN,Ti extensor MN_R,R,T3,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T3R:knee_extensor,knee_extensor,T3R,femur-tibia,809935,Ti extensor MN,Ti extensor MN_R,R,T3,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T3R:knee_flexor,knee_flexor,T3R,femur-tibia,801637,Acc. ti flexor MN,Acc. ti flexor MN_R,R,T3,annotation_only,legacy_target_unresolved,False
T3R:knee_flexor,knee_flexor,T3R,femur-tibia,803072,Ti flexor MN,Ti flexor MN_R,R,T3,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T3R:knee_flexor,knee_flexor,T3R,femur-tibia,808685,Ti flexor MN,Ti flexor MN_R,R,T3,annotation_only,legacy_target_unresolved,False
T3R:knee_flexor,knee_flexor,T3R,femur-tibia,813629,Acc. ti flexor MN,Acc. ti flexor MN_R,R,T3,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
