bodyId,leg,current_type,current_mancType,mancBodyid,legacy_systematic_type,legacy_target,legacy_exit_nerve,legacy_class,comparison,maleCNS_leg_MN_same_manc_id_count,legacy_source_line,decision
801637,T3R,Acc. ti flexor MN,Acc. ti flexor MN,15550,MNhl63,hind leg,MetaLN_R,motor neuron,current_named_legacy_unresolved,1,307,retain_as_separate_legacy_correspondence; no_overwrite
1050460102,T3R,Acc. ti flexor MN,Acc. ti flexor MN,21991,MNhl21,Ti flexor,MetaLN_R,motor neuron,different_muscle_label_same_mapped_action,1,286,retain_as_separate_legacy_correspondence; no_overwrite
1050102118,T3R,Acc. tr flexor MN,Acc. tr flexor MN,96565,MNhl05,Tr flexor,MetaLN_R,motor neuron,different_muscle_label_same_mapped_action,1,344,retain_as_separate_legacy_correspondence; no_overwrite
905792,T3R,MNhl01,MNhl01,15735,MNhl01,hind leg,AbN1_R,motor neuron,both_muscle_unresolved,1,309,retain_as_separate_legacy_correspondence; no_overwrite
801267,T3R,MNhl02,MNhl02,11274,MNhl02,hind leg,AbN1_R,motor neuron,both_muscle_unresolved,1,245,retain_as_separate_legacy_correspondence; no_overwrite
816022,T3R,MNhl29,MNhl29,14649,MNhl29,hind leg,MetaLN_R,motor neuron,both_muscle_unresolved,1,303,retain_as_separate_legacy_correspondence; no_overwrite
801335,T3R,MNhl59,MNhl59,13543,MNhl59,hind leg,MetaLN_R,motor neuron,both_muscle_unresolved,1,255,retain_as_separate_legacy_correspondence; no_overwrite
939950,T3R,MNhl60,MNhl60,27205,MNhl60,hind leg,MetaLN_R,motor neuron,both_muscle_unresolved,1,346,retain_as_separate_legacy_correspondence; no_overwrite
903090,T3R,MNhl62,MNhl62,17970,MNhl62,hind leg,AbN1_R,motor neuron,both_muscle_unresolved,1,332,retain_as_separate_legacy_correspondence; no_overwrite
800358,T3R,MNhl64,MNhl64,13740,MNhl64,hind leg,MetaLN_R,motor neuron,both_muscle_unresolved,1,292,retain_as_separate_legacy_correspondence; no_overwrite
869369,T3R,MNhl65,MNhl65,13144,MNhl65,hind leg,MetaLN_R,motor neuron,both_muscle_unresolved,1,281,retain_as_separate_legacy_correspondence; no_overwrite
812899,T3R,MNhl87,MNhl87,15857,MNhl87,hind leg,MetaLN_R,motor neuron,both_muscle_unresolved,1,311,retain_as_separate_legacy_correspondence; no_overwrite
809055,T3R,MNhl88,MNhl88,13883,MNhl88,hind leg,MetaLN_R,motor neuron,both_muscle_unresolved,1,294,retain_as_separate_legacy_correspondence; no_overwrite
808685,T3R,Ti flexor MN,Ti flexor MN,13512,MNhl68,hind leg,MetaLN_R,motor neuron,current_named_legacy_unresolved,1,240,retain_as_separate_legacy_correspondence; no_overwrite
823665,T3R,Ti flexor MN,Ti flexor MN,12758,MNhl26,Acc. ti flexor,MetaLN_R,motor neuron,different_muscle_label_same_mapped_action,2,269,retain_as_separate_legacy_correspondence; no_overwrite
840740,T3R,Ti flexor MN,Ti flexor MN,12504,MNhl67,hind leg,MetaLN_R,motor neuron,current_named_legacy_unresolved,1,251,retain_as_separate_legacy_correspondence; no_overwrite
910178,T3R,Ti flexor MN,Ti flexor MN,12800,MNhl66,hind leg,MetaLN_R,motor neuron,current_named_legacy_unresolved,1,275,retain_as_separate_legacy_correspondence; no_overwrite
1050013311,T3R,Ti flexor MN,Ti flexor MN,22465,MNhl12,Tr flexor,MetaLN_R,motor neuron,different_joint_or_action,1,329,retain_as_separate_legacy_correspondence; no_overwrite
1050303231,T3R,Ti flexor MN,Ti flexor MN,12474,MNhl28,Acc. ti flexor,MetaLN_R,motor neuron,different_muscle_label_same_mapped_action,1,259,retain_as_separate_legacy_correspondence; no_overwrite
1050091102,T3R,ltm MN,ltm MN,11480,MNhl67,hind leg,MetaLN_R,motor neuron,current_named_legacy_unresolved,1,250,retain_as_separate_legacy_correspondence; no_overwrite
914837,T3R,ltm1-tibia MN,ltm1-tibia MN,15380,MNhl32,ltm,MetaLN_R,motor neuron,long_tendon_location_or_granularity_difference,1,305,retain_as_separate_legacy_correspondence; no_overwrite
