dataset,versioned_body_id,bodyId,type,instance,leg_position_from_subclass,subclass,somaSide,rootSide,somaNeuromere,exitNerve,superclass,mancBodyid,mancType,mancSerial,mcnsSerial,serialMotif,matchingNotes,status,statusLabel,leg,joint,anatomical_action,action_source,muscle_label_available,action_known,muscle_identity_evidence,legacy_targets,legacy_match_count,physiological_action_in_this_cell_measured
male-cns:v1.0,male-cns:v1.0:1050111955,1050111955,Ta levator MN,Ta levator MN_L,front,fl,L,,T1,ProLN,vnc_motor,25674,Ta levator MN,13036.0,,,,Traced,Reviewed,T1L,tibia-tarsus,flexion_toward_substrate,Azevedo 2024 Appendix A1 p4; A17 pp41-42,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Ta depressor,1,False
male-cns:v1.0,male-cns:v1.0:800061,800061,Tergopleural/Pleural promotor MN,Tergopleural/Pleural promotor MN_L,front,fl,L,,T1,DProN,vnc_motor,12686,Tergopleural/Pleural promotor MN,,,,,Traced,Reviewed,T1L,thorax-coxa,coxa_anterior_movement,Azevedo 2024 Appendix A1 p2; A2 pp15-16,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Tergopleural/Pleural promotor,1,False
male-cns:v1.0,male-cns:v1.0:801173,801173,Tergopleural/Pleural promotor MN,Tergopleural/Pleural promotor MN_L,front,fl,L,,T1,DProN,vnc_motor,19319,Tergopleural/Pleural promotor MN,,,,,Traced,Reviewed,T1L,thorax-coxa,coxa_anterior_movement,Azevedo 2024 Appendix A1 p2; A2 pp15-16,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Tergopleural/Pleural promotor,1,False
male-cns:v1.0,male-cns:v1.0:807281,807281,Tergopleural/Pleural promotor MN,Tergopleural/Pleural promotor MN_L,front,fl,L,,T1,DProN,vnc_motor,12396,Tergopleural/Pleural promotor MN,,,,,Traced,Reviewed,T1L,thorax-coxa,coxa_anterior_movement,Azevedo 2024 Appendix A1 p2; A2 pp15-16,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Tergopleural/Pleural promotor,1,False
male-cns:v1.0,male-cns:v1.0:934091,934091,Tergopleural/Pleural promotor MN,Tergopleural/Pleural promotor MN_L,front,fl,L,,T1,DProN,vnc_motor,13490,Tergopleural/Pleural promotor MN,,,,,Traced,Reviewed,T1L,thorax-coxa,coxa_anterior_movement,Azevedo 2024 Appendix A1 p2; A2 pp15-16,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Tergopleural/Pleural promotor,1,False
male-cns:v1.0,male-cns:v1.0:802552,802552,Tergotr. MN,Tergotr. MN_L,front,fl,L,,T1,VProN,vnc_motor,19652,Tergotr. MN,,,,,Traced,Reviewed,T1L,coxa-trochanter,extension,Azevedo 2024 Appendix A1 p3; A5 pp20-21,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Tergotr.,1,False
male-cns:v1.0,male-cns:v1.0:803237,803237,Tergotr. MN,Tergotr. MN_L,front,fl,L,,T1,VProN,vnc_motor,166309,Tergotr. MN,13434.0,,,,Traced,Reviewed,T1L,coxa-trochanter,extension,Azevedo 2024 Appendix A1 p3; A5 pp20-21,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Tergotr.,1,False
male-cns:v1.0,male-cns:v1.0:804465,804465,Tergotr. MN,Tergotr. MN_L,front,fl,L,,T1,VProN,vnc_motor,21753,Tergotr. MN,,,,,Traced,Reviewed,T1L,coxa-trochanter,extension,Azevedo 2024 Appendix A1 p3; A5 pp20-21,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Tergotr.,1,False
male-cns:v1.0,male-cns:v1.0:805741,805741,Tergotr. MN,Tergotr. MN_L,front,fl,L,,T1,VProN,vnc_motor,155633,Tergotr. MN,,,,,Traced,Reviewed,T1L,coxa-trochanter,extension,Azevedo 2024 Appendix A1 p3; A5 pp20-21,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Tergotr.,1,False
male-cns:v1.0,male-cns:v1.0:800636,800636,Ti extensor MN,Ti extensor MN_L,front,fl,L,,T1,ProLN,vnc_motor,12704,Ti extensor MN,10737.0,800621.0,,,Traced,Reviewed,T1L,femur-tibia,extension,Azevedo 2024 Appendix A1 p3; A11 p31,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Ti extensor,1,False
male-cns:v1.0,male-cns:v1.0:815344,815344,Ti extensor MN,Ti extensor MN_L,front,fl,L,,T1,ProLN,vnc_motor,10256,Ti extensor MN,10347.0,800158.0,,,Traced,Reviewed,T1L,femur-tibia,extension,Azevedo 2024 Appendix A1 p3; A11 p31,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,,0,False
male-cns:v1.0,male-cns:v1.0:807165,807165,Ti flexor MN,Ti flexor MN_L,front,fl,L,,T1,ProLN,vnc_motor,12134,Ti flexor MN,,,,,Traced,Reviewed,T1L,femur-tibia,flexion,Azevedo 2024 Appendix A1 p3; A12 pp32-33,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Ti flexor,1,False
male-cns:v1.0,male-cns:v1.0:809912,809912,Ti flexor MN,Ti flexor MN_L,front,fl,L,,T1,ProLN,vnc_motor,17133,Ti flexor MN,,,,,Traced,Reviewed,T1L,femur-tibia,flexion,Azevedo 2024 Appendix A1 p3; A12 pp32-33,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Ti flexor,1,False
male-cns:v1.0,male-cns:v1.0:818057,818057,Ti flexor MN,Ti flexor MN_L,front,fl,L,,T1,ProLN,vnc_motor,15321,Ti flexor MN,,,,,Traced,Reviewed,T1L,femur-tibia,flexion,Azevedo 2024 Appendix A1 p3; A12 pp32-33,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Ti flexor,1,False
male-cns:v1.0,male-cns:v1.0:819384,819384,Ti flexor MN,Ti flexor MN_L,front,fl,L,,T1,ProLN,vnc_motor,17885,Ti flexor MN,,,,,Traced,Reviewed,T1L,femur-tibia,flexion,Azevedo 2024 Appendix A1 p3; A12 pp32-33,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Acc. ti flexor,1,False
male-cns:v1.0,male-cns:v1.0:909831,909831,Ti flexor MN,Ti flexor MN_L,front,fl,L,,T1,ProLN,vnc_motor,14798,Ti flexor MN,,,,,Traced,Reviewed,T1L,femur-tibia,flexion,Azevedo 2024 Appendix A1 p3; A12 pp32-33,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Ti flexor,1,False
male-cns:v1.0,male-cns:v1.0:803412,803412,Tr extensor MN,Tr extensor MN_L,front,fl,L,,T1,ProAN,vnc_motor,11657,Tr extensor MN,10866.0,803412.0,,,Traced,Reviewed,T1L,coxa-trochanter,extension,Azevedo 2024 Appendix A1 p3; A6 pp22-23,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Ti extensor,1,False
male-cns:v1.0,male-cns:v1.0:807906,807906,Tr extensor MN,Tr extensor MN_L,front,fl,L,,T1,ProLN,vnc_motor,19929,Tr extensor MN,17930.0,807906.0,,,Traced,Reviewed,T1L,coxa-trochanter,extension,Azevedo 2024 Appendix A1 p3; A6 pp22-23,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Tr extensor,1,False
