direction,target_bodyId,target_type,observation_source,threshold,edge_count,weight,weightHP,weightHR,weight_fraction_of_t1,all_relationship_edges,excluded_missing_weight_edges,excluded_below1_edges
outgoing,800892,IN06B013,additional,10,92,3261,3081,3261,0.4136225266362253,3627,0,0
outgoing,801214,LBL40,additional,1,5014,8827,7421,8827,1.0,5014,0,0
outgoing,801214,LBL40,additional,3,358,3275,2813,3275,0.3710207318454741,5014,0,0
outgoing,801214,LBL40,additional,5,101,2436,2120,2436,0.2759714512291832,5014,0,0
outgoing,801214,LBL40,additional,10,52,2128,1864,2128,0.24107850911974624,5014,0,0
outgoing,801246,LBL40,additional,1,4640,8410,7143,8410,1.0,4640,0,0
outgoing,801246,LBL40,additional,3,403,3332,2881,3332,0.3961950059453032,4640,0,0
outgoing,801246,LBL40,additional,5,120,2413,2129,2413,0.28692033293697977,4640,0,0
outgoing,801246,LBL40,additional,10,56,2015,1785,2015,0.23959571938168847,4640,0,0
outgoing,801526,IN19A022,additional,1,2214,4748,4236,4748,1.0,2214,0,0
outgoing,801526,IN19A022,additional,3,140,2384,2187,2384,0.502106149957877,2214,0,0
outgoing,801526,IN19A022,additional,5,54,2102,1938,2102,0.44271272114574556,2214,0,0
outgoing,801526,IN19A022,additional,10,29,1952,1805,1952,0.4111204717775906,2214,0,0
outgoing,801747,IN19A013,previous_six,1,2827,5894,5133,5894,1.0,2827,0,0
outgoing,801747,IN19A013,previous_six,3,152,2820,2505,2820,0.47845266372582285,2827,0,0
outgoing,801747,IN19A013,previous_six,5,46,2475,2213,2475,0.4199185612487275,2827,0,0
outgoing,801747,IN19A013,previous_six,10,24,2325,2095,2325,0.39446895147607736,2827,0,0
outgoing,803658,IN17A039,additional,1,487,1312,1070,1312,1.0,487,0,0
outgoing,803658,IN17A039,additional,3,61,818,719,818,0.6234756097560976,487,0,0
outgoing,803658,IN17A039,additional,5,23,694,626,694,0.5289634146341463,487,0,0
outgoing,803658,IN17A039,additional,10,13,633,575,633,0.48246951219512196,487,0,0
outgoing,804975,SNpp45,additional,1,2307,4377,3618,4377,1.0,2307,0,0
outgoing,804975,SNpp45,additional,3,254,1754,1448,1754,0.40073109435686544,2307,0,0
outgoing,804975,SNpp45,additional,5,67,1151,974,1151,0.2629655014850354,2307,0,0
outgoing,804975,SNpp45,additional,10,34,947,812,947,0.21635823623486405,2307,0,0
outgoing,805054,IN03A024,previous_six,1,1180,3074,2622,3074,1.0,1180,0,0
outgoing,805054,IN03A024,previous_six,3,244,1820,1588,1820,0.5920624593363696,1180,0,0
outgoing,805054,IN03A024,previous_six,5,71,1243,1090,1243,0.4043591411841249,1180,0,0
outgoing,805054,IN03A024,previous_six,10,19,945,845,945,0.3074170461938842,1180,0,0
outgoing,805405,IN17A033,additional,1,433,1363,1115,1363,1.0,433,0,0
outgoing,805405,IN17A033,additional,3,83,934,811,934,0.6852531181217901,433,0,0
outgoing,805405,IN17A033,additional,5,38,784,692,784,0.5752017608217168,433,0,0
outgoing,805405,IN17A033,additional,10,14,626,578,626,0.45928099779897286,433,0,0
